lc1	豹头环眼	active	0.65		[{"k": "dmg", "tg": "single", "mult": 2.0}, {"k": "status", "tg": "hit", "st": "stun", "chance": 0.3, "dur": 1}]
lc2	风雪山神庙	active	0.65		[{"k": "dmg", "tg": "single", "mult": 2.2, "exec": {"at": 0.5, "mul": 2.0}}]
lc3	丈八蛇矛	active	0.55		[{"k": "dmg", "tg": "col", "mult": 1.45}, {"k": "status", "tg": "hit", "st": "bleed", "chance": 0.3, "dur": 2}]
lc4	八十万禁军教头	cmd			[{"k": "buff", "tg": "mates", "stat": "atk", "pct": 0.15, "dur": 3}]
lzs1	倒拔垂杨柳	active	0.55		[{"k": "dmg", "tg": "all", "mult": 0.65}, {"k": "status", "tg": "hit", "st": "disarm", "chance": 0.3, "dur": 1}]
lzs2	禅杖横扫	active	0.65		[{"k": "dmg", "tg": "single", "mult": 2.0}, {"k": "status", "tg": "hit", "st": "stun", "chance": 0.35, "dur": 1}]
lzs3	铜皮铁骨	sure		2	[{"k": "shield", "tg": "self", "pct": 0.4}]
lzs4	花和尚	passive			[{"k": "pstat", "stat": "hp", "pct": 0.12}, {"k": "pimmune", "st": ["chaos"]}]
wy1	智多星	active	0.65		[{"k": "status", "tg": "smartest", "st": "silence", "chance": 0.9, "dur": 2}, {"k": "status", "tg": "smartest", "st": "chaos", "chance": 0.5, "dur": 1}]
wy2	运筹帷幄	cmd			[{"k": "buff", "tg": "mates", "stat": "int", "pct": 0.14, "dur": 3}, {"k": "buff", "tg": "mates", "stat": "atk", "pct": 0.06, "dur": 3}]
wy3	巧取豪夺	sure		2	[{"k": "steal", "tg": "strongest", "stat": "atk", "pct": 0.3, "dur": 3}]
wy4	妙手回春	sure		3	[{"k": "heal", "tg": "mates", "mult": 0.8}]
sj1	及时雨	active	0.5		[{"k": "buff", "tg": "mates", "stat": "atk", "pct": 0.23, "dur": 2}]
sj2	仗义疏财	active	0.5		[{"k": "heal", "tg": "lowest", "mult": 4.0}]
sj3	呼保义	active	0.45		[{"k": "status", "tg": "smartest", "st": "chaos", "chance": 0.7, "dur": 1}, {"k": "dmg", "tg": "smartest", "mult": 1.18, "src": "int"}]
sj4	领袖魅力	cmd			[{"k": "buff", "tg": "mates", "stat": "def", "pct": 0.2, "dur": 3}]
ws1	景阳冈打虎	active	0.65		[{"k": "dmg", "tg": "single", "mult": 2.1, "exec": {"at": 0.5, "mul": 1.8}}]
ws2	鸳鸯楼	active	0.55		[{"k": "dmg", "tg": "row", "mult": 1.1}, {"k": "status", "tg": "hit", "st": "bleed", "chance": 0.3, "dur": 2}]
ws3	醉拳	active	0.5		[{"k": "dmg", "tg": "single", "mult": 1.7}, {"k": "status", "tg": "self", "st": "dodge", "chance": 1.0, "dur": 2, "val": 0.25}]
ws4	铁臂膊	passive			[{"k": "pcut", "pct": 0.08}, {"k": "pcounter", "chance": 0.3, "mult": 0.8}]
lk1	旋风斧	active	0.6		[{"k": "dmg", "tg": "row", "mult": 1.2}]
lk2	黑旋风	active	0.5		[{"k": "dmg", "tg": "all", "mult": 0.8}]
lk3	板斧劈砍	active	0.65		[{"k": "dmg", "tg": "single", "mult": 2.1}, {"k": "status", "tg": "hit", "st": "bleed", "chance": 0.4, "dur": 2}]
lk4	天杀星	passive			[{"k": "pdmg", "pct": 0.12}, {"k": "pimmune", "st": ["silence"]}]
gss1	五雷天罡正法	active	0.55		[{"k": "dmg", "tg": "single", "mult": 2.0, "src": "int"}, {"k": "status", "tg": "hit", "st": "stun", "chance": 0.3, "dur": 1}]
